,Player Name,Pick,Position,Team,Draft Year,Start Season,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,Total FGA,Total FGM,Lng,XPA,XPM,KO,KOYds,TB,AV,FG%,XP%,TB%,KOAvg,Awards,AP-2,PB,AP-1
0,Randy Bullock,161,K,HOU,2012,2012,48.0,0.0,2.0,2.0,22.0,21.0,28.0,26.0,39.0,29.0,11.0,5.0,102.0,83.0,199.0,101.0,97.0,232.0,15061.0,113.0,5.0,82.875,94.5,51.075,64.5,,0,0,0
1,Greg Zuerlein,171,K,STL,2012,2012,62.0,0.0,3.0,3.0,20.0,19.0,38.0,33.0,27.0,22.0,31.0,16.0,119.0,93.0,231.0,123.0,120.0,282.0,18512.0,165.0,9.0,78.45,97.5,58.35,65.75,,0,0,0
2,Blair Walsh,175,K,MIN,2012,2012,64.0,0.0,2.0,2.0,31.0,30.0,46.0,41.0,31.0,25.0,32.0,23.0,142.0,121.0,219.0,146.0,141.0,332.0,21317.0,191.0,14.0,85.075,96.725,57.675,64.25,"PB,AP-1, ",0,1,1
3,John Potter,251,K,BUF,2012,2012,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,43.0,7.0,7.0,40.0,2463.0,21.0,0.0,18.75,25.0,26.775,30.75,,0,0,0
4,Caleb Sturgis,166,K,MIA,2013,2013,61.0,0.0,2.0,2.0,32.0,32.0,42.0,37.0,35.0,25.0,23.0,12.0,134.0,108.0,215.0,142.0,139.0,314.0,19841.0,160.0,9.0,80.525,97.85000000000001,51.300000000000004,63.25,,0,0,0
5,Dustin Hopkins,177,K,BUF,2013,2013,55.0,0.0,1.0,1.0,31.0,31.0,32.0,30.0,34.0,28.0,18.0,9.0,116.0,99.0,212.0,124.0,118.0,282.0,17772.0,202.0,12.0,85.60000000000001,95.175,72.05,63.25,,0,0,0
6,Zach Hocker,228,K,WAS,2014,2014,8.0,0.0,0.0,0.0,3.0,3.0,6.0,5.0,3.0,1.0,2.0,1.0,14.0,10.0,51.0,13.0,12.0,12.0,777.0,9.0,0.0,17.85,23.075,18.75,16.25,,0,0,0
7,Nate Freese,229,K,DET,2014,2014,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,7.0,3.0,30.0,6.0,6.0,0.0,0.0,0.0,-1.0,10.725,25.0,0.0,0.0,,0,0,0
8,Roberto Aguayo,59,K,TAM,2016,2016,16.0,0.0,0.0,0.0,5.0,5.0,15.0,13.0,10.0,4.0,1.0,0.0,31.0,22.0,43.0,34.0,32.0,79.0,4993.0,52.0,0.0,17.75,23.525,16.45,15.75,,0,0,0
9,Jake Elliott,153,K,CIN,2017,2017,63.0,0.0,0.0,0.0,22.0,20.0,32.0,28.0,33.0,29.0,20.0,11.0,107.0,88.0,224.0,140.0,131.0,320.0,19988.0,197.0,11.0,81.525,93.52499999999999,61.675,62.5,,0,0,0
10,Zane Gonzalez,224,K,CLE,2017,2017,51.0,0.0,0.0,0.0,22.0,22.0,25.0,22.0,31.0,19.0,13.0,8.0,91.0,71.0,219.0,111.0,105.0,232.0,14441.0,131.0,8.0,75.15,90.85,57.300000000000004,62.25,,0,0,0
11,Harrison Butker,233,K,CAR,2017,2017,61.0,0.0,2.0,2.0,33.0,33.0,42.0,40.0,38.0,33.0,19.0,13.0,134.0,121.0,221.0,199.0,186.0,381.0,24190.0,265.0,17.0,90.375,94.225,70.175,63.5,,0,0,0
12,Daniel Carlson,167,K,MIN,2018,2018,61.0,0.0,0.0,0.0,39.0,38.0,30.0,28.0,40.0,30.0,16.0,13.0,125.0,109.0,208.0,140.0,133.0,307.0,19356.0,181.0,13.0,85.35,95.25,58.075,63.0,", AP-2",1,0,0
13,Jason Sanders,229,K,MIA,2018,2018,65.0,0.0,1.0,1.0,28.0,28.0,28.0,25.0,42.0,32.0,21.0,14.0,120.0,100.0,211.0,137.0,134.0,310.0,19218.0,224.0,14.0,83.3,97.75,72.425,62.25,", AP-1",0,0,1
14,Matt Gay,145,K,TAM,2019,2019,57.0,0.0,0.0,0.0,23.0,23.0,36.0,33.0,33.0,28.0,23.0,17.0,115.0,101.0,222.0,145.0,138.0,215.0,13400.0,154.0,15.0,88.0,96.125,55.724999999999994,50.75,", PB",0,1,0
15,Austin Seibert,170,K,CLE,2019,2019,30.0,0.0,0.0,0.0,6.0,6.0,19.0,19.0,24.0,17.0,6.0,2.0,55.0,44.0,201.0,61.0,55.0,139.0,8463.0,51.0,4.0,74.05,93.65,35.225,60.0,,0,0,0
16,Justin Rohrwasser,159,K,NWE,2020,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0
17,Tyler Bass,188,K,BUF,2020,2020,66.0,0.0,1.0,1.0,32.0,32.0,43.0,36.0,31.0,26.0,19.0,12.0,126.0,107.0,225.0,210.0,205.0,387.0,24393.0,223.0,12.0,84.95,97.65,57.35000000000001,63.25,,0,0,0
18,Sam Sloman,248,K,LAR,2020,2020,8.0,0.0,0.0,0.0,3.0,2.0,6.0,6.0,3.0,2.0,1.0,0.0,13.0,10.0,47.0,26.0,23.0,44.0,2791.0,24.0,0.0,19.225,22.125,13.625,15.75,,0,0,0
19,Evan McPherson,149,K,CIN,2021,2021,61.0,0.0,1.0,1.0,22.0,21.0,22.0,22.0,35.0,26.0,35.0,24.0,115.0,94.0,229.0,170.0,163.0,333.0,20933.0,223.0,12.0,81.05,96.025,67.75,62.75,,0,0,0
